survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
SDSS_AB,18.923882,18.311729999999997,18.064598999999998,17.921754,18.86090087890625,18.324399948120117,18.082199096679688,18.01180076599121,308.52079212,-0.55799372
SDSS_AB,18.916982,18.44913,18.281799,18.207554000000002,18.836200714111328,18.469900131225586,18.28350067138672,18.25670051574707,308.52080862,0.33048397
SDSS_AB,18.261582,17.572029999999998,17.335499,17.203654,18.17449951171875,17.573400497436523,17.335100173950195,17.247800827026367,308.52140291,-0.07848481
SDSS_AB,17.780082,17.27723,17.092599,17.002254,17.718000411987305,17.276500701904297,17.098499298095703,17.031200408935547,308.52158204,1.07563295
SDSS_AB,17.616482,16.98723,16.787499,16.693054,17.520099639892578,16.984399795532227,16.79210090637207,16.729999542236328,308.52207644,1.12334258
SDSS_AB,18.633382,17.72863,17.427999,17.225454,18.527299880981445,17.738800048828125,17.422199249267578,17.274900436401367,308.52223509,-1.01124669
SDSS_AB,17.369182000000002,16.53033,16.258198999999998,16.110554,17.24519920349121,16.526899337768555,16.259199142456055,16.157100677490234,308.52253885,-0.01629716
SDSS_AB,16.556182,16.044629999999998,15.861598999999998,15.793054000000001,16.46739959716797,16.030899047851562,15.866800308227539,15.812800407409668,308.52286464,1.19391124
SDSS_AB,17.819582,17.33563,17.167699,17.088154,17.730199813842773,17.327899932861328,17.18160057067871,17.143999099731445,308.52308632,1.21241529
SDSS_AB,18.177182000000002,17.53683,17.312199,17.179054,18.076499938964844,17.547700881958008,17.306699752807617,17.223100662231445,308.52316483,-0.14763605
SDSS_AB,18.812082,18.26933,18.094399,18.014354,18.730100631713867,18.288999557495117,18.100500106811523,18.034299850463867,308.5233698,0.38698979
SDSS_AB,17.956682,17.50603,17.355199,17.286154,17.89459991455078,17.503700256347656,17.36669921875,17.302000045776367,308.52367257,1.07258613
SDSS_AB,16.517882,15.933929999999998,15.723498999999999,15.603454000000001,16.42140007019043,15.921199798583984,15.7052001953125,15.618499755859375,308.52390531,-0.96556305
SDSS_AB,16.885982000000002,16.07733,15.788098999999999,15.620354,16.779300689697266,16.06839942932129,15.782099723815918,15.653499603271484,308.52504553,-0.93446885
SDSS_AB,18.130282,17.123829999999998,16.732298999999998,16.493554,17.974199295043945,17.118999481201172,16.736499786376953,16.556400299072266,308.5256883,0.32128714
SDSS_AB,18.237782,17.796429999999997,17.622699,17.566054,18.190900802612305,17.782499313354492,17.62929916381836,17.569599151611328,308.52591525,0.80000981
SDSS_AB,18.291382000000002,17.537029999999998,17.268299,17.090854,18.201900482177734,17.51259994506836,17.25860023498535,17.138700485229492,308.52650135,-0.06300397
SDSS_AB,15.222282,14.55313,14.329899,14.217354,15.118200302124023,14.541500091552734,14.314499855041504,14.237000465393066,308.52658808,-0.5766114
SDSS_AB,18.406282,17.79873,17.580699,17.458754000000003,18.312299728393555,17.820899963378906,17.58799934387207,17.496400833129883,308.52690698,0.35428557
SDSS_AB,18.837982,18.26533,18.023799,17.889854,18.73080062866211,18.275699615478516,18.021400451660156,17.932199478149414,308.52856264,-0.87864553
SDSS_AB,18.997182000000002,18.57403,18.413999,18.335554000000002,18.994800567626953,18.55459976196289,18.427799224853516,18.40019989013672,308.52974176,0.71470308
SDSS_AB,18.632982000000002,18.16123,17.993699,17.902354000000003,18.59040069580078,18.169300079345703,17.998300552368164,17.954999923706055,308.53076693,-0.0410413
SDSS_AB,18.182782,17.64203,17.470599,17.364854,18.1112003326416,17.645200729370117,17.465999603271484,17.405000686645508,308.53168915,-0.0804796
SDSS_AB,17.404782,16.42103,16.009798999999997,15.764454,17.26129913330078,16.399900436401367,16.007699966430664,15.820199966430664,308.53303252,-0.52150338
SDSS_AB,18.802282,18.413729999999997,18.254499,18.185354,18.734699249267578,18.53230094909668,18.240800857543945,18.203899383544922,308.53310637,0.75787104
SDSS_AB,17.446482,16.379929999999998,15.991698999999999,15.774854000000001,17.304800033569336,16.378799438476562,16.000200271606445,15.830400466918945,308.5342076,0.28972711
