survey,Foundation_g,Foundation_r,Foundation_i,Foundation_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
Foundation_AB,17.74920082092285,17.100200653076172,16.859800338745117,16.756000518798828,17.714399337768555,17.091699600219727,16.845699310302734,16.765199661254883,37.41154971,-4.11825131
Foundation_AB,18.631799697875977,17.673900604248047,17.269500732421875,17.087200164794922,18.615800857543945,17.68470001220703,17.270099639892578,17.095500946044922,37.42951123,-4.07478614
Foundation_AB,18.532800674438477,17.481399536132812,16.965299606323242,16.733299255371094,18.5221004486084,17.469600677490234,16.960800170898438,16.734800338745117,37.41738389,-4.12111489
Foundation_AB,18.27440071105957,17.777799606323242,17.57309913635254,17.521799087524414,18.275100708007812,17.767000198364258,17.570600509643555,17.513500213623047,37.44482943,-4.19938508
Foundation_AB,19.010400772094727,18.57270050048828,18.41309928894043,18.356199264526367,18.99970054626465,18.573999404907227,18.41990089416504,18.34000015258789,37.04025495,-4.01015696
Foundation_AB,17.292299270629883,16.969600677490234,16.83180046081543,16.81329917907715,17.29290008544922,16.955400466918945,16.823999404907227,16.818099975585938,37.14695156,-4.18089866
Foundation_AB,17.515199661254883,17.065900802612305,16.900999069213867,16.85569953918457,17.520099639892578,17.06800079345703,16.899499893188477,16.85420036315918,37.06597647,-4.10221619
Foundation_AB,17.29520034790039,16.990100860595703,16.86440086364746,16.846399307250977,17.308500289916992,16.990100860595703,16.861799240112305,16.848800659179688,37.08505138,-4.11768773
Foundation_AB,18.947999954223633,17.724700927734375,16.986299514770508,16.646099090576172,18.96969985961914,17.714099884033203,16.97450065612793,16.645599365234375,37.0595541,-4.17680343
Foundation_AB,18.84320068359375,17.76219940185547,17.26180076599121,17.05030059814453,18.852399826049805,17.755300521850586,17.266399383544922,17.050399780273438,37.16615565,-4.20707194
Foundation_AB,17.54669952392578,17.313499450683594,17.265600204467773,17.297500610351562,17.538299560546875,17.312700271606445,17.255699157714844,17.29509925842285,37.09669534,-4.20662704
