survey,KAIT4-B,KAIT4-V,KAIT4-R,KAIT4-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT4,16.550684,16.062532,15.716215,15.328911,16.20439910888672,15.861000061035156,15.72920036315918,15.712800025939941,171.23108421,-9.76853449
KAIT4,17.094854,16.60218,16.252888,15.879013,16.735599517822266,16.38759994506836,16.268999099731445,16.25979995727539,171.22199909,-9.79062898
KAIT4,17.373,16.825964,16.440918,16.045803,17.000900268554688,16.587099075317383,16.454700469970703,16.424699783325195,171.27741083,-9.75346046
KAIT4,17.53137,16.975267,16.584248,16.160782,17.17099952697754,16.72450065612793,16.582300186157227,16.529600143432617,171.27316416,-9.84321402
KAIT4,17.785437,17.072222,16.577267,16.101603,17.26810073852539,16.645200729370117,16.473100662231445,16.43600082397461,171.26213166,-9.82007499
KAIT4,15.278206,14.776474,14.421234,14.024918,14.931099891662598,14.559300422668457,14.429900169372559,14.400899887084961,36.38366143,41.85001381
KAIT4,16.602476,15.936539,15.472944,14.985317,16.174999237060547,15.628999710083008,15.406800270080566,15.337200164794922,36.379804,41.80955718
KAIT4,16.777819,16.235315,15.853252,15.434845,16.408599853515625,16.00320053100586,15.844900131225586,15.812999725341797,36.38164775,41.86429613
KAIT4,17.34337,16.787268,16.396248,15.979685,16.979900360107422,16.535600662231445,16.396900177001953,16.372299194335938,36.39074406,41.82739767
KAIT4,15.310922,14.853546,14.527423,14.1584425,14.985199928283691,14.657999992370605,14.55109977722168,14.525699615478516,128.61725616,-2.50006023
KAIT4,15.912736,15.180413,14.67276,14.181758,15.45580005645752,14.821700096130371,14.604000091552734,14.490699768066406,128.63427413,-2.56614969
KAIT4,15.961865,15.383999,14.97863,14.554367,15.569600105285645,15.123499870300293,14.958100318908691,14.90999984741211,128.60314376,-2.55390642
KAIT4,16.134378,15.648945,15.304412,14.928178,15.800399780273438,15.442399978637695,15.330599784851074,15.310999870300293,128.62680381,-2.50221727
KAIT4,16.22851,15.744887,15.401543,15.011652,15.887900352478027,15.540900230407715,15.418299674987793,15.38860034942627,128.61361362,-2.57556961
KAIT4,16.047817,15.276347,14.742645,14.176534,15.56779956817627,14.89169979095459,14.60260009765625,14.489299774169922,52.44813812,0.06883437
KAIT4,17.274866,16.552551,16.05155,15.508107,16.827499389648438,16.21489906311035,15.949000358581543,15.833999633789062,52.4815938,0.09556307
KAIT4,17.086819,16.486269,16.065928,15.595446,16.705299377441406,16.216400146484375,16.016799926757812,15.946499824523926,52.48654192,0.05291195
KAIT4,17.532585,16.891178,16.443829,15.93058,17.126300811767578,16.58650016784668,16.360200881958008,16.26490020751953,52.4596183,0.02788056
KAIT4,17.67012,17.081367,16.668814,16.199291,17.303199768066406,16.829999923706055,16.626300811767578,16.5492000579834,52.46506485,0.09943299
KAIT4,15.671509,15.187887,14.844542,14.4516945,15.33590030670166,14.981399536132812,14.85200023651123,14.8326997756958,39.52313633,-1.35239072
