survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTF,16.865653557358986,16.385643072736762,99.0,99.0,99.0,99.0,16.82270050048828,16.400100708007812,16.22640037536621,16.16900062561035,331.64890203503757,36.436455342739926
ZTF,99.0,99.0,99.0,17.700966660118578,16.78993439822215,16.43848214187199,17.610300064086914,16.84149932861328,16.509300231933594,16.356800079345703,71.18947612783144,75.22498455804084
ZTF,99.0,99.0,99.0,17.14178758215052,15.98803315862984,15.563411407140654,17.066699981689453,16.06839942932129,15.647500038146973,15.434399604797363,73.96590150131755,10.026351389117213
ZTF,99.0,99.0,99.0,17.039579962631382,16.513569503768366,99.0,16.996200561523438,16.541000366210938,16.35810089111328,16.298999786376953,97.99703964557048,62.965592653897666
ZTF,16.381977072507368,15.808353918618465,15.609513315341161,99.0,99.0,99.0,16.343000411987305,15.853400230407715,15.65880012512207,15.61240005493164,142.8521814947914,23.742585312274308
ZTF,14.283013322119412,13.681382796727855,99.0,99.0,99.0,99.0,14.250399589538574,13.721699714660645,13.50469970703125,13.423399925231934,309.14577633726356,-27.52219169140082
ZTF,99.0,99.0,99.0,17.149524231641756,16.71657227255843,99.0,17.109500885009766,16.745500564575195,16.60890007019043,16.58839988708496,117.44099987443688,32.52705894101154
ZTF,99.0,99.0,99.0,14.022470498585944,13.529721751751465,13.367493703302214,13.992400169372559,13.576299667358398,13.409500122070312,13.385000228881836,256.3092176515922,55.552747210557555
ZTF,14.466250092302804,14.12813744754361,14.014422201486859,99.0,99.0,99.0,14.458900451660156,14.17039966583252,14.080900192260742,14.062399864196777,156.58321970324562,21.203871635212845
ZTF,99.0,99.0,99.0,17.1303066548125,16.420290724672643,16.14402010118506,17.082000732421875,16.467100143432617,16.210399627685547,16.098899841308594,44.04416681221172,37.95907479270033
ZTF,99.0,99.0,99.0,14.898930838801238,14.443674901937607,14.279613345483728,14.867799758911133,14.467300415039062,14.312600135803223,14.279899597167969,280.35361813028703,47.49538978917315
ZTF,99.0,99.0,99.0,17.41630324966244,16.919994738103842,99.0,17.370800018310547,16.947799682617188,16.776199340820312,16.72719955444336,254.99016681548488,2.8505535829523736
ZTF,99.0,99.0,99.0,17.540020895720534,16.536096322738906,99.0,17.4242000579834,16.578500747680664,16.154800415039062,15.946800231933594,84.08112458819384,-3.4901576130531597
ZTF,99.0,99.0,99.0,15.87217860967131,15.428017373894976,15.2693419399045,15.843400001525879,15.44729995727539,15.292699813842773,15.268699645996094,196.68586439018435,-10.705471703235542
ZTF,99.0,99.0,99.0,17.559127108981578,17.118532639201135,16.9568365346487,17.530399322509766,17.156999588012695,17.006200790405273,16.96489906311035,135.38142590553417,-1.047879899268096
ZTF,17.722679617379004,17.193364388316578,99.0,99.0,99.0,99.0,17.690500259399414,17.216800689697266,17.0137996673584,16.93589973449707,231.88163552547883,0.14961724696273515
ZTF,17.629415800252172,17.104769426991872,16.894148976979096,99.0,99.0,99.0,17.59510040283203,17.134700775146484,16.950700759887695,16.875499725341797,262.2212350080271,78.4980974454564
ZTF,99.0,99.0,99.0,16.79468382172532,16.390731956737312,99.0,16.773799896240234,16.422100067138672,16.2903995513916,16.26919937133789,232.47224015410083,27.85155147084695
ZTF,99.0,99.0,99.0,15.573739144114493,15.09245690833493,14.927664217716297,15.556500434875488,15.140199661254883,14.974200248718262,14.939000129699707,257.0764433225301,18.463317876003927
ZTF,17.570497097700912,99.0,99.0,99.0,99.0,99.0,17.532800674438477,16.813899993896484,16.476600646972656,16.323699951171875,333.910364669892,45.209915517273835
ZTF,16.577109471559307,16.124954869667018,15.959676829502936,99.0,99.0,99.0,16.567800521850586,16.16200065612793,16.011600494384766,15.974699974060059,334.60326026188744,36.0152496834747
ZTF,16.011012021608995,15.400951376279865,15.201779233449724,99.0,99.0,99.0,15.9798002243042,15.441399574279785,15.255599975585938,15.188300132751465,270.45033539431427,30.69259147435191
