survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
D3YR,18.38286018,17.35204887,17.02830505,16.85651588,18.34779930114746,17.429399490356445,17.069599151611328,16.92140007019043,42.13564827,-1.11112498
D3YR,18.15080643,16.77869606,16.20119667,15.92700386,18.086299896240234,16.890499114990234,16.28809928894043,16.020200729370117,41.73479076,-1.18091735
D3YR,17.53284454,17.11813164,17.00786781,16.97030067,17.483600616455078,17.14590072631836,17.01300048828125,16.983600616455078,41.73605933,-1.15941945
D3YR,18.50936127,17.07081604,16.32222748,15.98067856,18.423799514770508,17.204999923706055,16.422500610351562,16.08449935913086,41.71122998,-1.2622461
D3YR,18.18515205,17.03352928,16.63689423,16.42103577,18.12339973449707,17.122699737548828,16.69809913635254,16.49329948425293,43.49991768,0.21543761
D3YR,18.24713707,17.17182922,16.79812431,16.59292793,18.217500686645508,17.263500213623047,16.849199295043945,16.661300659179688,43.26719335,-0.65067607
D3YR,18.45012283,18.61624718,18.81229401,19.00167656,18.450700759887695,18.579700469970703,18.775800704956055,18.93560028076172,41.62117148,-1.86421973
D3YR,18.43495941,17.22838593,16.77832413,16.54838181,18.38949966430664,17.323299407958984,16.844100952148438,16.62619972229004,41.53665973,-0.06971576
D3YR,18.71751213,18.31261635,18.18226624,18.2070179,18.511899948120117,18.352500915527344,18.19070053100586,18.072599411010742,41.58795546,-0.03114145
D3YR,18.26600456,17.67497063,17.48609161,17.39384651,18.22249984741211,17.739299774169922,17.51490020751953,17.437400817871094,41.59900699,-0.10117482
D3YR,17.48415565,17.00376129,16.88198853,16.83990288,17.473100662231445,17.041400909423828,16.893400192260742,16.866199493408203,40.52684019,-1.28406985
D3YR,18.92867851,18.22152519,17.97086334,17.84358597,18.897899627685547,18.271099090576172,18.000099182128906,17.880399703979492,40.52506804,-1.2450694
D3YR,18.94657898,17.60279274,17.06184578,16.80463028,18.888900756835938,17.72559928894043,17.13719940185547,16.892499923706055,40.96423418,-1.0497704
D3YR,18.64027023,18.17503548,18.04301262,17.98768806,18.661800384521484,18.21780014038086,18.04789924621582,18.070100784301758,42.86001295,0.88932241
D3YR,18.3795681,17.78686905,17.61455917,17.52032471,18.350400924682617,17.830900192260742,17.633699417114258,17.535900115966797,42.8121751,-1.70071735
D3YR,18.33268738,17.47668266,17.20877266,17.06887436,18.29199981689453,17.524499893188477,17.23509979248047,17.116199493408203,41.05210017,0.53093722
D3YR,18.84025574,18.00980377,17.7461319,17.6179657,18.779399871826172,18.07740020751953,17.770999908447266,17.67970085144043,41.09391882,0.46674643
D3YR,17.54718781,17.02739906,16.85333443,16.78592682,17.504499435424805,17.056699752807617,16.864900588989258,16.808799743652344,41.10726181,0.45382152
D3YR,18.06026649,17.47052002,17.28964043,17.2124176,18.01449966430664,17.502599716186523,17.302799224853516,17.24679946899414,41.06917359,0.44917885
D3YR,18.69969749,17.28218651,16.45689583,16.09805298,18.619400024414062,17.41189956665039,16.57430076599121,16.208499908447266,41.07840084,0.45572107
D3YR,18.69681358,17.97317505,17.7690258,17.6676693,18.646299362182617,18.019399642944336,17.78580093383789,17.69860076904297,41.05714648,0.47262253
D3YR,18.80633545,18.26045418,18.08672714,18.00550842,18.775400161743164,18.309499740600586,18.083999633789062,18.031600952148438,40.58440338,0.00917873
