survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,18.3255,17.7368,17.4834,17.3649,18.3259,17.7492,17.4944,17.3885,36.6383,-4.80024,0.0777375,0.0548958,0.0404275,0.0315616,0.078,0.0554366,0.0413503,0.032803,17.773,17.1313,18.2564,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.5918,16.9535,16.72,16.6113,17.6106,16.9726,16.7281,16.6326,36.0582,-4.78907,0.0883025,0.0626197,0.0454275,0.0355616,0.0886,0.0632958,0.0463503,0.036803,17.012,16.3751,17.4942,0,0,0,17.6025,16.9353,16.712,16.5963,2489561781488730752
SNLS_AB,17.9772,17.6591,17.5677,17.5469,17.9752,17.6542,17.5748,17.565,36.1066,-4.78167,0.0873025,0.0616197,0.0454275,0.0355616,0.0876,0.0622958,0.0463503,0.036803,17.6855,17.2199,17.9876,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.9393,18.1856,17.8855,17.744,18.9356,18.2089,17.8963,17.7686,36.2259,-4.77664,0.0853025,0.0598958,0.0444275,0.0345616,0.0856,0.0604366,0.0453503,0.035803,18.2458,17.5154,18.7884,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.3286,17.9254,17.7747,17.7272,18.3375,17.9122,17.7815,17.7546,36.7991,-4.7756,0.0863025,0.0608958,0.0444275,0.0345616,0.0866,0.0614366,0.0453503,0.035803,17.9572,17.4451,18.3095,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.4029,17.0346,16.9141,16.8734,17.4034,17.0398,16.9085,16.8899,36.0439,-4.77351,0.090085,0.0636197,0.0464275,0.0365616,0.0904,0.0642958,0.0473503,0.037803,17.056,16.5635,17.3785,0,0,0,17.4181,17.024,16.912,16.8771,2489561850208209536
SNLS_AB,17.448,16.8097,16.5722,16.4653,17.4663,16.8384,16.5899,16.4956,36.2482,-4.77172,0.0873025,0.0618958,0.0454275,0.0355616,0.0876,0.0624366,0.0463503,0.036803,16.876,16.2387,17.3695,0,0,0,17.4707,16.8312,16.583,16.4827,2489555326153122176
SNLS_AB,17.3153,16.5699,16.2911,16.1551,17.3276,16.5902,16.3057,16.1869,36.4825,-4.7708,0.08152,0.0578958,0.0424275,0.033468,0.0818,0.0584366,0.0433503,0.0345025,16.6384,15.9448,17.1852,0,0,0,17.3175,16.5765,16.2917,16.1664,2489553264568817280
SNLS_AB,18.7098,17.9685,17.677,17.5367,18.7099,17.9962,17.7014,17.5642,36.3224,-4.76986,0.0893025,0.0636197,0.0464275,0.0365616,0.0896,0.0642958,0.0473503,0.037803,18.0324,17.3546,18.5772,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.8728,18.1967,17.924,17.7961,18.8975,18.2245,17.9438,17.8407,36.7207,-4.76751,0.07852,0.0548958,0.0404275,0.0315616,0.0788,0.0554366,0.0413503,0.032803,18.253,17.5742,18.7491,0,0,0,-999,-999,-999,-999,-999
