survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,16.1477,15.3483,14.7714,14.3015,15.7503,14.9705,15.003,14.7037,21.3178,34.1086,0.19066,0.148207,0.111706,0.08175,0.171668,0.121732,0.0898305,0.0716059,317310813734728064,16.1446,15.4338,15.0329,14.812
CFA3S,17.4547,16.5583,15.9294,15.4545,16.9208,16.1916,15.9171,15.8135,21.2752,34.0939,0.19066,0.148084,0.111706,0.080875,0.170854,0.121732,0.0897006,0.0716059,317310470137345152,17.3735,16.5812,16.1202,15.8751
CFA3S,17.6397,17.0813,16.6564,16.2795,17.2194,16.8467,16.7071,16.6485,21.2614,33.9623,0.194279,0.151207,0.113706,0.082875,0.174668,0.123732,0.0917006,0.0729064,316922303878103296,17.4724,17.0473,16.8188,16.679
CFA3S,17.5632,17.0637,16.6946,16.3462,17.2346,16.9213,16.8081,16.7933,74.3387,-4.8078,0.147804,0.115218,0.0867763,0.062875,0.133158,0.0940141,0.0699605,0.0557044,3212519916888570752,17.5026,17.0897,16.8949,16.7929
CFA3S,18.1102,17.5507,16.8226,16.0402,18.58,18.1615,18.0115,18.0019,74.3375,-4.80338,0.147804,0.115218,0.0867763,0.062875,0.133158,0.0940141,0.0699605,0.0557044,-999,-999,-999,-999,-999
CFA3S,16.728,16.1957,15.8097,15.4709,16.3914,16.061,15.9218,15.903,74.3313,-4.82998,0.143804,0.112094,0.0847763,0.060875,0.129344,0.0920141,0.0679605,0.0537044,3212519818105755392,16.6415,16.2237,16.0228,15.9069
CFA3S,17.9042,17.2522,16.822,16.428,17.4941,17.0547,16.9084,16.8631,74.3283,-4.84059,0.143804,0.112094,0.0847763,0.060875,0.129344,0.0920141,0.0679605,0.0537044,-999,-999,-999,-999,-999
CFA3S,16.3105,15.5495,14.997,14.5363,15.8373,15.272,15.0088,14.9194,74.3225,-4.74635,0.152804,0.119218,0.0897624,0.064875,0.137157,0.0978732,0.0719605,0.0570049,3212524834627546368,16.2252,15.5671,15.1939,14.9643
CFA3S,16.5952,15.7199,15.1054,14.6297,16.0717,15.3793,15.1066,15.0051,74.3039,-4.70459,0.161423,0.125465,0.0947484,0.068875,0.144785,0.102873,0.0759605,0.0603054,3212525899779432832,16.504,15.7471,15.2958,15.0542
CFA3S,17.2636,16.3639,15.752,15.2831,16.7121,16.0099,15.7477,15.6492,74.2691,-4.6812,0.161423,0.125589,0.0947624,0.068875,0.145599,0.103014,0.0768305,0.0610049,3212537788248909312,17.1754,16.3898,15.9276,15.6957
CFA3S,16.2079,15.4889,14.9984,14.5837,15.7488,15.2366,15.0364,14.9734,74.2675,-4.77995,0.159423,0.124465,0.0937484,0.067875,0.143785,0.101873,0.0749605,0.0600049,3212523941274360192,16.1054,15.4917,15.1759,15.0008
CFA3S,17.1348,16.3455,15.7823,15.3177,16.6363,16.0313,15.7843,15.6863,74.2645,-4.72118,0.166423,0.129713,0.0977484,0.070875,0.150413,0.106873,0.0788305,0.0623054,3212524456670428416,17.0381,16.3526,15.962,15.7315
CFA3S,18.1669,17.3812,16.8577,16.412,17.6609,17.1099,16.8827,16.7943,74.2534,-4.77817,0.166423,0.129589,0.0977484,0.070875,0.149599,0.105873,0.0788305,0.0623054,-999,-999,-999,-999,-999
CFA3S,15.8732,15.2382,14.803,14.4527,15.4349,15.0222,14.8745,14.847,74.2463,-4.74464,0.168423,0.130713,0.0987484,0.071875,0.151413,0.107873,0.0798305,0.0633054,3212524216152265088,15.7494,15.2213,14.9705,14.8495
CFA3S,16.0405,15.5562,15.1963,14.9174,15.6621,15.3431,15.2363,15.2178,74.2327,-4.74693,0.166423,0.129589,0.0977484,0.070875,0.149599,0.106873,0.0788305,0.0623054,3212524280575949952,15.8937,15.4926,15.3085,15.2187
CFA3S,17.0937,16.5898,16.2023,15.8731,16.7596,16.427,16.2947,16.2801,74.2319,-4.84122,0.155423,0.121341,0.0917484,0.065875,0.139971,0.0990141,0.0729605,0.0580049,3212516691369574016,17.0084,16.582,16.3783,16.2677
