survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFD-g_AV,ZTFD-r_AV,ZTFD-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFD,17.2196,16.723,16.5128,17.2241,16.71,16.4812,16.3921,256.577,21.1533,0.20704999999999998,0.13685070422535212,0.09879661016949152,0.2012,0.14345070422535214,0.10557062146892655,0.08420689655172414
ZTFD,16.3918,15.9296,15.7637,16.4033,15.9092,15.7403,15.6805,241.294,58.5308,0.04755,0.03151830985915493,0.02276271186440678,0.0462,0.032718309859154936,0.024610169491525426,0.01920197044334975
ZTFD,16.904,16.444,16.2478,16.9195,16.4096,16.2196,16.1797,258.797,69.9743,0.12385,0.08181408450704225,0.058779661016949154,0.1204,0.08601408450704226,0.06309039548022599,0.05040394088669951
ZTFD,16.8586,16.2646,16.0089,16.8643,16.2573,15.9874,15.8794,240.376,67.3611,0.107,0.0705549295774648,0.05152542372881356,0.104,0.0741549295774648,0.05522033898305085,0.04340394088669951
ZTFD,17.4783,17.1087,16.9848,17.4895,17.0904,16.9359,16.9109,248.732,41.6465,0.017849999999999998,0.012,0.008254237288135593,0.0174,0.012,0.00887005649717514,0.007300492610837438
ZTFD,16.9851,16.2392,15.9923,16.9748,16.2412,15.9781,15.8686,257.348,68.3135,0.105,0.06929577464788733,0.05027118644067797,0.102,0.07229577464788733,0.05335028248587571,0.04240394088669951
ZTFD,16.8988,16.2859,16.0861,16.9016,16.2765,16.0597,15.9958,226.701,70.6074,0.05645,0.036777464788732395,0.02676271186440678,0.0548,0.0385774647887324,0.028610169491525426,0.022901477832512316
ZTFD,16.6362,16.0614,15.8441,16.6557,16.0517,15.8185,15.7382,259.182,38.9981,0.14365,0.09481408450704226,0.06903389830508475,0.1396,0.09901408450704227,0.07396045197740113,0.058004926108374384
ZTFD,18.2263,17.6336,17.411,18.2093,17.6254,17.3844,17.2815,248.948,39.2126,0.0337,0.02251830985915493,0.016508474576271186,0.0328,0.023718309859154935,0.01774011299435028,0.013600985221674876
ZTFD,17.0487,16.553,16.3689,17.0564,16.5396,16.3439,16.2729,263.025,39.3109,0.12385,0.08181408450704225,0.05952542372881356,0.1204,0.08601408450704226,0.06322033898305085,0.05040394088669951
