survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,17.349,16.9029,16.6976,17.3516,16.877,16.6543,16.5723,229.213,25.2446,0.1724,0.1143323943661971,0.0825423728813559,0.1676,0.1197323943661972,0.0887005649717514,0.0703054187192118,99,99,99,99,99,99
ZTF,16.7457,16.5016,16.4111,16.7573,16.4617,16.3603,16.3425,236.578,73.0667,0.108,0.0715549295774648,0.0515254237288135,0.105,0.0751549295774648,0.0552203389830508,0.044103448275862,99,99,99,99,99,99
ZTF,16.4627,15.851,15.5954,16.4608,15.8545,15.5887,15.4779,250.992,32.8506,0.103,0.0682957746478873,0.0492711864406779,0.0999999999999999,0.0712957746478873,0.0523502824858757,0.042103448275862,99,99,99,99,99,99
ZTF,17.2331,16.6467,16.4254,17.2309,16.6406,16.3922,16.3019,253.988,41.8324,0.0961,0.0632957746478873,0.0462711864406779,0.0934,0.0662957746478873,0.0493502824858757,0.039103448275862,99,99,99,99,99,99
ZTF,16.5519,16.0521,15.8429,16.5667,16.0401,15.814,15.7354,219.085,47.1574,0.0603999999999999,0.0397774647887324,0.0287627118644067,0.0586,0.0415774647887324,0.0306101694915254,0.0242019704433497,99,99,99,99,99,99
ZTF,16.3182,16.0031,15.8914,16.341,15.9727,15.8416,15.817,243.07,64.6009,0.0634,0.0420366197183098,0.0307627118644067,0.0616,0.0444366197183098,0.0326101694915254,0.0262019704433497,99,99,99,99,99,99
ZTF,16.8101,16.1925,15.9379,16.8152,16.1853,15.9328,15.8175,220.252,71.9844,0.0712999999999999,0.0470366197183098,0.0340169491525423,0.0692,0.0494366197183098,0.0364802259887005,0.0285024630541871,99,99,99,99,99,99
ZTF,16.0206,15.4486,15.2356,16.0172,15.4393,15.2053,15.129,248.847,40.917,0.0287,0.0192591549295774,0.0135084745762711,0.0278,0.0198591549295774,0.0147401129943502,0.0116009852216748,99,99,99,99,99,99
ZTF,17.1079,16.7873,16.6326,17.1087,16.7451,16.6317,16.5492,229.276,28.9321,0.0842,0.0560366197183098,0.0402711864406779,0.0818,0.0584366197183098,0.0433502824858757,0.0345024630541871,99,99,99,99,99,99
ZTF,16.9648,16.5764,16.4215,16.9814,16.549,16.3891,16.349,239.685,43.6236,0.0436,0.0285183098591549,0.0207627118644067,0.0424,0.0297183098591549,0.0226101694915254,0.0179014778325123,99,99,99,99,99,99
