survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,16.8289,16.2699,16.0964,15.929,16.515,16.1031,15.9524,15.9116,128.996,28.15,0.14287820512820512,0.11225,0.09206760563380283,0.06769491525423729,0.13,0.09301408450704227,0.06896045197740114,0.054704433497536946
CFA4,16.8414,16.016,15.6916,15.4232,16.3224,15.6569,15.3929,15.2972,128.995,27.9862,0.13587820512820512,0.10625,0.08706760563380282,0.06398305084745763,0.124,0.08801408450704226,0.065090395480226,0.05170443349753695
CFA4,17.899,17.4003,17.2484,17.0829,17.5931,17.2505,17.106,17.0782,32.3931,-23.3973,0.05755128205128205,0.044989999999999995,0.0371718309859155,0.027135593220338983,0.0528,0.037577464788732404,0.027610169491525425,0.022201970443349754
CFA4,17.7659,17.2751,17.1119,16.9536,17.4813,17.1197,16.983,16.9565,32.3459,-23.3669,0.055551282051282055,0.043899999999999995,0.0361718309859155,0.026135593220338982,0.051,0.0365774647887324,0.026610169491525424,0.021201970443349753
CFA4,16.1633,15.6497,15.506,15.363,15.8116,15.4642,15.3432,15.3281,32.2994,-23.4918,0.059939102564102564,0.04699,0.038447887323943664,0.028135593220338984,0.0548,0.038718309859154934,0.028610169491525426,0.02320197044334975
CFA4,16.8618,16.2094,15.9897,15.8213,16.4806,15.9902,15.8167,15.7688,32.2847,-23.4762,0.06493910256410257,0.05108,0.042171830985915496,0.030847457627118643,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
CFA4,16.2585,15.7554,15.6138,15.48,15.9067,15.5625,15.4468,15.4283,32.245,-23.4853,0.06693910256410257,0.053079999999999995,0.043171830985915496,0.031847457627118644,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
CFA4,17.1383,16.4562,16.215,16.0108,16.7113,16.2131,16.0462,15.9772,30.4664,15.3354,0.18004166666666666,0.14097,0.11551549295774649,0.08511864406779661,0.16440000000000002,0.1167323943661972,0.08670056497175141,0.06860591133004926
CFA4,16.9246,16.101,15.7571,15.4549,16.4661,15.7935,15.5163,15.403,30.439,15.3828,0.17742948717948717,0.13979000000000003,0.11379154929577466,0.08411864406779661,0.1618,0.11487323943661974,0.08570056497175141,0.06760591133004926
CFA4,16.1753,15.687,15.5608,15.4249,15.8487,15.5262,15.4052,15.3758,30.4098,15.2462,0.2048173076923077,0.16124,0.1315154929577465,0.09683050847457628,0.1868,0.13273239436619721,0.09857062146892656,0.0779064039408867
CFA4,17.0668,16.1855,15.8273,15.5333,16.5412,15.8262,15.5476,15.5912,30.4061,15.3232,0.19242948717948719,0.15106,0.1235154929577465,0.09111864406779661,0.1752,0.12473239436619721,0.09270056497175141,0.07360591133004926
CFA4,17.9836,17.2788,17.0386,16.8027,17.5194,17.0024,16.7818,16.6993,30.3588,15.2884,0.19881730769230768,0.15624,0.1275154929577465,0.09411864406779662,0.1818,0.1287323943661972,0.09570056497175142,0.0759064039408867
CFA4,16.8564,16.3184,16.1582,15.9948,16.499,16.1372,16.0075,15.9724,30.3496,15.3565,0.1934294871794872,0.15206,0.1245154929577465,0.09111864406779661,0.1762,0.1257323943661972,0.09270056497175141,0.07360591133004926
CFA4,17.988,17.3374,17.0838,16.8387,17.6056,17.091,16.8657,16.7778,30.3452,15.4133,0.18842948717948718,0.14797,0.1205154929577465,0.08911864406779661,0.1714,0.1217323943661972,0.09070056497175141,0.07160591133004926
CFA4,17.7274,16.8855,16.5693,16.2855,17.2061,16.5532,16.3062,16.2166,5.78278,6.91001,0.08032692307692307,0.06335,0.05189577464788733,0.03784745762711864,0.074,0.05243661971830987,0.038480225988700566,0.030502463054187193
CFA4,15.6785,15.1501,14.9838,14.8306,15.3481,14.9802,14.8481,14.8202,5.76806,6.96672,0.0847147435897436,0.06635,0.05489577464788733,0.039847457627118645,0.077,0.05543661971830987,0.04048022598870057,0.03250246305418719
CFA4,18.0076,17.1586,16.8117,16.4849,17.5357,16.805,16.5048,16.3558,5.75528,6.93402,0.08632692307692308,0.06744,0.055619718309859165,0.040847457627118645,0.07880000000000001,0.056295774647887334,0.04148022598870057,0.03280295566502463
