FGCM_ID,RA,DEC,FLAG,MAG_STD_G,MAG_STD_R,MAG_STD_I,MAG_STD_Z,MAG_STD_Y,MAGERR_STD_G,MAGERR_STD_R,MAGERR_STD_I,MAGERR_STD_Z,MAGERR_STD_Y,NGOOD_G,NGOOD_R,NGOOD_I,NGOOD_Z,NGOOD_Y,SOURCEID,GAIA_ATLAS-c,GAIA_ATLAS-o
7653737,197.457,-22.3948,0,18.0219,17.3688,17.1622,17.0536,17.0486,0.000806954,0.000830718,0.000488824,0.000500626,0.000552736,8,4,12,15,29,-999,-999,-999
7653943,197.585,-22.4271,0,19.2615,18.9318,18.8085,18.7747,18.7896,0.00180993,0.00181648,0.00129919,0.00152146,0.00189986,6,4,11,15,28,-999,-999,-999
7653353,197.58,-22.4313,0,19.7936,18.9597,18.6444,18.4741,18.4515,0.00218924,0.00184727,0.00111256,0.001214,0.00144144,8,4,12,15,29,-999,-999,-999
7654407,197.419,-22.4031,0,17.7644,17.1912,16.9784,16.8689,16.868,0.000722135,0.000781187,0.000497335,0.000459372,0.00049463,8,4,10,15,29,-999,-999,-999
7653432,197.463,-22.4144,0,18.6791,18.3595,18.2482,18.2103,18.2412,0.00112162,0.00130311,0.000896346,0.00168015,0.0012675,8,4,11,6,28,-999,-999,-999
7654254,197.602,-22.4474,0,17.5538,17.0804,16.931,16.8637,16.8799,0.000664761,0.000873181,0.000447796,0.000458236,0.000490584,8,3,12,15,30,-999,-999,-999
7654259,197.368,-22.3924,0,17.9932,17.1801,16.8636,16.6845,16.6643,0.000795801,0.000778227,0.000457125,0.000424941,0.000435397,8,4,11,15,30,-999,-999,-999
7654279,197.407,-22.4046,16,19.5906,18.7305,18.4339,18.2715,18.2492,0.00191921,0.00160726,0.000967142,0.00104867,0.00122495,8,4,12,15,30,-999,-999,-999
7654237,197.519,-22.432,0,19.1885,18.5599,18.3332,18.2143,18.2091,0.00149814,0.00145572,0.000906867,0.00100723,0.00118873,8,4,12,15,30,-999,-999,-999
7653356,197.323,-22.3912,0,18.7991,18.6668,18.6448,18.6582,18.7236,0.00119962,0.00154884,0.00116641,0.00139197,0.00184279,8,4,11,15,27,-999,-999,-999
7653857,197.484,-22.43,0,19.4595,18.6107,18.3324,18.1736,18.1523,0.00176663,0.00311511,0.00109399,0.000979322,0.00115696,8,1,8,15,29,-999,-999,-999
7654008,197.4,-22.4128,0,19.1288,18.5584,18.3345,18.2205,18.2173,0.00144611,0.00145451,0.000907538,0.00101174,0.0012644,8,4,12,15,27,-999,-999,-999
7654290,197.609,-22.4644,0,18.1874,17.1797,16.7911,16.5739,16.528,0.000869538,0.000778081,0.000426682,0.000422116,0.000405597,8,4,12,14,30,-999,-999,-999
7654396,197.32,-22.398,0,18.8328,17.8658,17.4654,17.2423,17.2003,0.00121571,0.00101822,0.000557968,0.000551129,0.000594212,8,4,12,15,30,-999,-999,-999
8202772,197.209,-22.3744,0,17.628,17.2975,17.1812,17.1395,17.1757,0.000687204,0.000810596,0.000516256,0.000522734,0.000585348,8,4,11,15,30,-999,-999,-999
920583,316.601,1.53617,16,19.2369,18.6374,18.4332,18.3206,18.3638,0.0046586,0.00210092,0.00219821,0.00508015,0.0192641,1,3,3,1,1,-999,-999,-999
923514,316.614,1.54046,16,19.3993,18.6637,18.3936,18.2505,18.1976,0.00511416,0.00213304,0.0021454,0.00483422,0.0167483,1,3,3,1,1,-999,-999,-999
920650,316.62,1.5423,0,18.0183,17.4966,17.3208,17.2325,17.26,0.00253716,0.00148422,0.00120685,0.00253639,0.007975,1,2,3,1,1,-999,-999,-999
925056,316.448,1.35838,16,19.8175,18.9392,18.6508,18.4873,18.4698,0.00656054,0.0025064,0.00252235,0.00573524,0.0209754,1,3,3,1,1,-999,-999,-999
926408,316.765,1.68337,0,18.051,17.5613,17.4101,17.3374,17.3352,0.00256827,0.00122862,0.00125707,0.00269305,0.00841683,1,3,3,1,1,-999,-999,-999
921591,316.453,1.36042,0,17.7239,17.152,16.9662,16.8673,16.8838,0.00224829,0.00104585,0.00104089,0.00209912,0.00602948,1,3,3,1,1,-999,-999,-999
923515,316.615,1.51694,0,18.6122,18.1319,17.9728,17.9008,17.9209,0.00334206,0.0016013,0.00167708,0.00381021,0.013356,1,3,3,1,1,-999,-999,-999
922421,316.944,1.8542,0,19.335,18.7031,18.4708,18.3509,18.3547,0.00492385,0.00218148,0.00224621,0.00520879,0.0190642,1,3,3,1,1,-999,-999,-999
921386,316.954,1.86229,0,18.3014,17.7654,17.5779,17.4891,17.4899,0.00287865,0.00167372,0.00136097,0.00294895,0.00947748,1,2,3,1,1,-999,-999,-999
921069,316.632,1.52736,0,18.3138,17.7727,17.5893,17.4974,17.525,0.00289552,0.00134754,0.00137043,0.00295516,0.00976235,1,3,3,1,1,-999,-999,-999
922289,316.648,1.54287,0,18.3337,17.8893,17.7271,17.6461,17.6723,0.00292141,0.00240755,0.00269761,0.00323636,0.010952,1,1,1,1,1,-999,-999,-999
921721,316.647,1.54146,0,18.1551,17.7297,17.5945,17.5345,17.545,0.00269237,0.00157653,0.0016757,0.00302213,0.00991307,1,2,2,1,1,-999,-999,-999
922442,316.96,1.85831,0,18.3212,17.7641,17.5931,17.5182,17.5202,0.00290518,0.0013427,0.00137148,0.00300107,0.00970225,1,3,3,1,1,-999,-999,-999
925300,316.469,1.35133,0,19.1605,18.5862,18.3857,18.2883,18.2646,0.00446214,0.00337243,0.00252496,0.00497186,0.0176379,1,1,2,1,1,-999,-999,-999
925334,316.481,1.3611,0,19.4115,18.9401,18.7713,18.6976,18.738,0.00514101,0.00250682,0.00273026,0.0067029,0.0264393,1,3,3,1,1,-999,-999,-999
923028,316.64,1.52299,0,19.2021,18.6377,18.4127,18.2922,18.3082,0.00456865,0.00210148,0.00217052,0.00497857,0.0183786,1,3,3,1,1,-999,-999,-999
922080,316.751,1.63617,0,18.5917,17.949,17.7046,17.5687,17.5589,0.00331086,0.00146424,0.00145196,0.00308796,0.00999358,1,3,3,1,1,-999,-999,-999
925460,316.495,1.37282,0,17.6886,17.2513,17.117,17.0546,17.0738,0.00221654,0.00108469,0.00110578,0.0023071,0.00691775,1,3,3,1,1,-999,-999,-999
925542,316.802,1.68234,0,18.3321,17.8324,17.6739,17.5989,17.6036,0.00291403,0.00138594,0.0014297,0.00314601,0.0103481,1,3,3,1,1,-999,-999,-999
921508,316.762,1.63843,0,17.801,17.0073,16.7044,16.5253,16.4976,0.00232076,0.00170198,0.000945992,0.00179824,0.00461869,1,1,3,1,1,-999,-999,-999
