survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-r_AV,GAIA-b_AV,GAIA-g_AV,GAIA_DES-g,GAIA_DES-r,GAIA_DES-i,GAIA_DES-z,SOURCEID
DES,18.1963,17.5421,17.3392,17.2269,18.1535,17.5867,17.3377,17.2542,42.0398,0.823512,0.154838,0.103915,0.0760339,0.0590136,0.153,0.108873,0.0808305,0.0643054,17.6148,17.0054,18.0793,0,0,0,-999,-999,-999,-999,-999
DES,18.948,18.3461,18.1572,18.0619,18.8871,18.3895,18.1763,18.1151,41.8638,0.747027,0.12567,0.0846761,0.0616968,0.0473956,0.1242,0.0890141,0.0659605,0.0517044,18.4157,17.8216,18.8383,0,0,0,-999,-999,-999,-999,-999
DES,18.4847,17.9431,17.7834,17.7094,18.4594,17.993,17.7819,17.7403,42.8732,0.66331,0.230756,0.154873,0.113382,0.0880204,0.228,0.16231,0.120311,0.0958079,18.0062,17.4637,18.3596,0,0,0,-999,-999,-999,-999,-999
DES,18.6084,17.9913,17.7785,17.6634,18.5473,18.0163,17.7992,17.6965,42.1251,0.902952,0.172282,0.115155,0.084371,0.0657844,0.1702,0.120732,0.0897006,0.0716059,18.0629,17.4225,18.4931,0,0,0,-999,-999,-999,-999,-999
DES,17.7602,17.2378,17.0398,16.949,17.6711,17.2473,17.0486,16.9706,41.8719,0.726807,0.12567,0.0846761,0.0616968,0.0473956,0.1242,0.0890141,0.0659605,0.0517044,17.2806,16.7245,17.695,0,0,0,-999,-999,-999,-999,-999
DES,18.8307,18.5249,18.4387,18.4095,18.8257,18.5519,18.4407,18.4504,42.0355,0.755967,0.148976,0.0999155,0.0730339,0.05709,0.1472,0.104873,0.0778305,0.0620049,18.536,18.1162,18.8677,0,0,0,-999,-999,-999,-999,-999
DES,17.046,16.6169,16.4958,16.4444,17.0238,16.6389,16.503,16.4689,42.2142,0.845553,0.176282,0.118155,0.086371,0.0667844,0.1742,0.123732,0.0917006,0.0726059,16.6562,16.1535,16.9827,0,0,0,17.0646,16.6208,16.4945,16.4427,2499048784425230208
DES,18.6232,17.9269,17.7036,17.578,18.5894,17.9841,17.7263,17.6191,43.0968,0.847919,0.243479,0.163113,0.119382,0.091944,0.2406,0.171169,0.126311,0.100108,18.011,17.3668,18.5176,0,0,0,-999,-999,-999,-999,-999
DES,17.4814,17.0044,16.8592,16.7967,17.447,17.0318,16.8638,16.8192,42.0991,0.789628,0.157699,0.105915,0.0770339,0.0599372,0.1558,0.110873,0.0818305,0.0653054,17.0652,16.5247,17.3987,0,0,0,17.4855,17.0214,16.8765,16.7588,2499046860279883776
DES,17.3863,16.9362,16.816,16.7601,17.3545,16.9581,16.8181,16.7858,42.0497,0.912714,0.162699,0.109155,0.0800339,0.0619372,0.1608,0.114732,0.0848305,0.0673054,16.9811,16.4777,17.3355,0,0,0,-999,-999,-999,-999,-999
DES,16.2623,15.5074,15.2793,15.1351,16.2221,15.5605,15.2978,15.1912,42.2613,0.06404,0.162699,0.108915,0.0800339,0.0619372,0.1608,0.113873,0.0848305,0.0673054,15.5967,14.9302,16.0958,0,0,0,-999,-999,-999,-999,-999
DES,18.0467,17.5908,17.4497,17.3876,18.0235,17.6157,17.4622,17.3919,42.4237,0.993447,0.185144,0.124394,0.0907081,0.0706316,0.183,0.130592,0.0965706,0.0769064,17.6359,17.1206,18.0132,0,0,0,18.0778,17.6194,17.463,17.3958,2499150622394396160
DES,18.9115,18.3428,18.1395,18.0533,18.8441,18.3423,18.1108,18.0219,42.4154,0.902297,0.188866,0.126394,0.0927081,0.0715552,0.1866,0.132592,0.0985706,0.0779064,18.4231,17.8153,18.7972,0,0,0,-999,-999,-999,-999,-999
DES,17.4565,17.0109,16.8932,16.8489,17.4215,17.0359,16.8979,16.8718,41.8305,0.418394,0.122809,0.0824366,0.0603597,0.046472,0.1214,0.0861549,0.0640904,0.0507044,17.058,16.56,17.3943,0,0,0,-999,-999,-999,-999,-999
DES,16.9573,16.4252,16.268,16.1932,16.9242,16.46,16.284,16.2145,42.6541,0.48271,0.198728,0.133394,0.0977081,0.0754788,0.1964,0.139592,0.103571,0.0822069,16.4822,15.9264,16.8769,0,0,0,16.9797,16.4262,16.2697,16.1996,2498974051994340864
DES,18.9474,18.437,18.2635,18.1712,18.9181,18.4663,18.278,18.2118,42.1844,0.463418,0.168421,0.113155,0.082371,0.0638608,0.1664,0.118732,0.0877006,0.0696059,18.4871,17.9439,18.8445,0,0,0,-999,-999,-999,-999,-999
DES,16.335,15.818,15.6486,15.5726,16.3058,15.856,15.6642,15.5984,42.8845,0.612367,0.235756,0.158113,0.115719,0.089944,0.233,0.166169,0.123181,0.0978079,15.8653,15.3096,16.2509,0,0,0,16.3475,15.818,15.6484,15.5728,2499075653740718208
DES,16.4421,15.6223,15.357,15.1983,16.401,15.6915,15.3906,15.2586,42.1931,0.0627693,0.150976,0.100915,0.0740339,0.05709,0.1492,0.105873,0.0788305,0.0623054,15.7164,15.024,16.26,0,0,0,16.4702,15.6288,15.3593,15.2073,2498935362928932352
DES,18.4313,17.9904,17.8507,17.7886,18.4025,17.9966,17.8483,17.7998,42.5516,0.85814,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,18.0316,17.5198,18.4079,0,0,0,-999,-999,-999,-999,-999
