survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,SDSS_AB_g_AV,SDSS_AB_r_AV,SDSS_AB_i_AV,SDSS_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
SDSS_AB,17.0037,16.4946,16.317,16.2304,16.9296,16.4915,16.3087,16.246,308.508,0.644217,0.33392125,0.2299464788732395,0.17092655367231638,0.12813546798029557,0.3214,0.22860563380281695,0.16953107344632767,0.13461083743842364
SDSS_AB,15.8204,15.0176,14.7659,14.6584,15.6947,15.0207,14.7733,14.6754,308.508,1.20662,0.317925,0.2190084507042254,0.16298305084745762,0.12212931034482759,0.306,0.21774647887323947,0.16166101694915255,0.1283103448275862
SDSS_AB,18.2411,17.2741,16.9697,16.8043,18.1098,17.2868,16.9806,16.8544,308.508,-0.00223898,0.4129025,0.2837605633802817,0.2107005649717514,0.15817241379310346,0.3974,0.28218309859154933,0.20901129943502825,0.16641379310344828
SDSS_AB,17.553,16.8832,16.6633,16.5433,17.479,16.8878,16.6623,16.5718,308.509,0.663634,0.3289225,0.2269464788732395,0.16798305084745763,0.12613546798029557,0.3166,0.22560563380281695,0.16666101694915256,0.13261083743842364
SDSS_AB,18.3773,17.6777,17.4005,17.2521,18.2773,17.6662,17.4135,17.3026,308.509,-0.527301,0.57986375,0.3992028169014085,0.2961920903954802,0.22224014778325124,0.5581999999999999,0.3969154929577466,0.2938418079096045,0.2337192118226601
SDSS_AB,16.9206,16.3138,16.1308,16.0246,16.8151,16.308,16.1213,16.0584,308.509,-0.0977857,0.41890125,0.2886985915492958,0.2137005649717514,0.16017241379310346,0.4032,0.2870422535211268,0.21201129943502825,0.16841379310344828
SDSS_AB,18.9395,18.2611,17.9973,17.8572,18.8568,18.2733,18.0109,17.9014,308.51,0.271644,0.38590875,0.26576056338028176,0.1968135593220339,0.14716625615763546,0.3714,0.26418309859154937,0.19527118644067798,0.15511330049261082
SDSS_AB,17.6748,17.0814,16.8961,16.8043,17.5875,17.0776,16.8947,16.8329,308.51,-0.0271254,0.4169025,0.2866985915492958,0.2127005649717514,0.15917857142857145,0.4014,0.2850422535211268,0.21101129943502825,0.1677142857142857
SDSS_AB,18.5922,18.0664,17.8844,17.7882,18.5374,18.0697,17.8768,17.8279,308.51,0.673408,0.3289225,0.2269464788732395,0.16798305084745763,0.12613546798029557,0.3166,0.22560563380281695,0.16666101694915256,0.13261083743842364
SDSS_AB,17.9058,17.299,17.0873,16.9785,17.831,17.3021,17.098,17.0127,308.51,1.12715,0.31492625,0.2170084507042254,0.16103954802259887,0.12013546798029556,0.3032,0.21574647887323947,0.1597909604519774,0.12661083743842363
SDSS_AB,17.6245,17.0366,16.825,16.7306,17.5354,17.0254,16.8211,16.753,308.511,0.27874,0.38690875,0.26676056338028176,0.1978135593220339,0.1481600985221675,0.3724,0.26518309859154937,0.19627118644067798,0.1558128078817734
SDSS_AB,17.9609,17.061,16.7469,16.5623,17.8628,17.0496,16.7442,16.6107,308.511,-0.0230465,0.4129025,0.2837605633802817,0.2107005649717514,0.15817241379310346,0.3974,0.28218309859154933,0.20901129943502825,0.16641379310344828
SDSS_AB,18.3098,17.8302,17.6498,17.5772,18.2482,17.8401,17.6657,17.6196,308.511,0.284295,0.38690875,0.26676056338028176,0.1978135593220339,0.1481600985221675,0.3724,0.26518309859154937,0.19627118644067798,0.1558128078817734
SDSS_AB,18.0492,17.4727,17.2218,17.0853,17.9617,17.4707,17.232,17.1303,308.512,1.19502,0.317925,0.2190084507042254,0.16203954802259887,0.12113546798029556,0.306,0.21774647887323947,0.1607909604519774,0.12761083743842364
SDSS_AB,15.9023,15.3662,15.1921,15.1141,15.8319,15.3528,15.1878,15.1351,308.512,0.651612,0.3289225,0.2269464788732395,0.16798305084745763,0.12613546798029557,0.3166,0.22560563380281695,0.16666101694915256,0.13261083743842364
SDSS_AB,16.7978,16.1219,15.8806,15.7637,16.6984,16.1203,15.886,15.801,308.512,0.311652,0.38790875,0.26682253521126764,0.1978135593220339,0.1481600985221675,0.3734,0.2653239436619719,0.19627118644067798,0.1558128078817734
