survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,18.4806,18.0074,17.8214,17.7357,18.4044,17.9965,17.8272,17.7524,308.516,0.762732,0.315926,0.218008,0.161983,0.121129,0.305011,0.216746,0.160661,0.12731,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.8838,17.3307,17.15,17.0691,17.8052,17.3457,17.1621,17.1011,308.517,0.337812,0.387909,0.266823,0.197814,0.148166,0.374404,0.265324,0.196271,0.156113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.6383,17.7291,17.3818,17.1663,18.4989,17.7082,17.3671,17.1888,308.517,1.10792,0.311926,0.215008,0.15904,0.119129,0.301011,0.213746,0.157791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.2185,17.6118,17.3877,17.2658,18.1194,17.6107,17.3819,17.2884,308.517,0.370446,0.392908,0.270761,0.200757,0.150166,0.379217,0.269183,0.199141,0.158113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.6516,17.1651,16.9753,16.8902,17.5867,17.1616,16.9835,16.926,308.517,0.271054,0.385909,0.265761,0.196814,0.147166,0.372404,0.264183,0.195271,0.155113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.106,15.5361,15.3589,15.2715,16.017,15.5365,15.3517,15.2978,308.517,0.367858,0.392908,0.270761,0.200757,0.150166,0.379217,0.269183,0.199141,0.158113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.721,16.1492,15.9569,15.8473,16.6374,16.1493,15.9577,15.8815,308.518,-0.0837167,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,16.733,16.1544,15.9636,15.8513,16.7232,16.1544,15.9636,15.8513,4229663731310130048
SDSS,16.819,16.1389,15.9332,15.8272,16.7202,16.1497,15.9327,15.864,308.518,0.363141,0.392908,0.270761,0.200757,0.150166,0.379217,0.269183,0.199141,0.158113,16.8591,16.1595,15.9497,15.8342,16.8471,16.1595,15.9497,15.8342,4229714304550867200
SDSS,17.4601,16.8341,16.6141,16.4985,17.3827,16.8361,16.62,16.53,308.518,1.23159,0.324924,0.223946,0.165983,0.124135,0.313639,0.222606,0.164661,0.130611,17.4985,16.8384,16.6284,16.4992,17.487,16.8384,16.6284,16.4992,4231499331613610496
SDSS,17.0125,16.4879,16.3214,16.2306,16.9284,16.4949,16.3198,16.2656,308.518,-0.0768895,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.9615,18.0672,17.7495,17.5492,18.8435,18.0734,17.7557,17.603,308.519,1.12266,0.311926,0.215008,0.15904,0.119129,0.301011,0.213746,0.157791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.7394,18.0976,17.8801,17.7548,18.66,18.122,17.8839,17.7838,308.519,-0.0929744,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.7299,18.3501,18.1929,18.1219,18.691,18.343,18.1994,18.1676,308.519,0.696527,0.323924,0.223008,0.165983,0.124135,0.312639,0.221746,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.5303,17.9123,17.6628,17.5285,18.4527,17.9029,17.671,17.5727,308.519,1.15379,0.319925,0.220008,0.16304,0.122135,0.308825,0.218746,0.161791,0.128611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.06,16.4828,16.2982,16.1906,16.9709,16.493,16.2822,16.2151,308.52,-0.113124,0.419901,0.289637,0.214701,0.161172,0.405286,0.287901,0.213011,0.169414,17.0753,16.4933,16.2925,16.1849,17.0657,16.4933,16.2925,16.1849,4229663074179374336
SDSS,18.9239,18.3117,18.0646,17.9218,18.8609,18.3244,18.0822,18.0118,308.521,-0.557994,0.59786,0.412141,0.306136,0.229246,0.57714,0.409775,0.303712,0.24102,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.917,18.4491,18.2818,18.2076,18.8362,18.4699,18.2835,18.2567,308.521,0.330484,0.387909,0.266823,0.197814,0.148166,0.374404,0.265324,0.196271,0.156113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.2616,17.572,17.3355,17.2037,18.1745,17.5734,17.3351,17.2478,308.521,-0.0784848,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.7801,17.2772,17.0926,17.0023,17.718,17.2765,17.0985,17.0312,308.522,1.07563,0.317926,0.219008,0.162983,0.122129,0.307011,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.6165,16.9872,16.7875,16.6931,17.5201,16.9844,16.7921,16.73,308.522,1.12334,0.311926,0.215008,0.15904,0.119129,0.301011,0.213746,0.157791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.6334,17.7286,17.428,17.2255,18.5273,17.7388,17.4222,17.2749,308.522,-1.01125,0.606857,0.418079,0.310079,0.232252,0.585767,0.415634,0.307582,0.24432,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.3692,16.5303,16.2582,16.1106,17.2452,16.5269,16.2592,16.1571,308.523,-0.0162972,0.412903,0.283761,0.210701,0.158172,0.398473,0.282183,0.209011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.5562,16.0446,15.8616,15.7931,16.4674,16.0309,15.8668,15.8128,308.523,1.19391,0.317925,0.219008,0.16204,0.121135,0.306825,0.217746,0.160791,0.127611,16.5776,16.0448,15.8772,15.8091,16.5683,16.0448,15.8772,15.8091,4231496097502725760
SDSS,17.8196,17.3356,17.1677,17.0882,17.7302,17.3279,17.1816,17.144,308.523,1.21242,0.317925,0.219008,0.162983,0.122129,0.306825,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.1772,17.5368,17.3122,17.1791,18.0765,17.5477,17.3067,17.2231,308.523,-0.147636,0.421901,0.290699,0.215701,0.161179,0.407286,0.289042,0.214011,0.169714,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.8121,18.2693,18.0944,18.0144,18.7301,18.289,18.1005,18.0343,308.523,0.38699,0.390908,0.268823,0.199757,0.149166,0.377217,0.267324,0.198141,0.157113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.9567,17.506,17.3552,17.2862,17.8946,17.5037,17.3667,17.302,308.524,1.07259,0.323924,0.223008,0.165983,0.124135,0.312639,0.221746,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.5179,15.9339,15.7235,15.6035,16.4214,15.9212,15.7052,15.6185,308.524,-0.965563,0.605857,0.417141,0.309136,0.232252,0.584767,0.414775,0.306712,0.24432,16.5393,15.9218,15.7144,15.5995,16.5287,15.9218,15.7144,15.5995,4226470783902990080
SDSS,16.886,16.0773,15.7881,15.6204,16.7793,16.0684,15.7821,15.6535,308.525,-0.934469,0.619854,0.427079,0.317023,0.237259,0.598209,0.424634,0.314452,0.249621,16.9256,16.0763,15.7841,15.6046,16.9119,16.0763,15.7841,15.6046,4226471741679360640
