survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SWIFT-B_AV,SWIFT-V_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
swift,16.36,15.7152,15.9477,15.5294,15.3955,15.3546,171.269,-9.85548,0.1483974358974359,0.11371875000000001,0.131,0.09301408450704227,0.069090395480226,0.054704433497536946
swift,16.5824,15.9201,16.1313,15.6796,15.5264,15.486,171.209,-9.77147,0.1482371794871795,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,16.5603,16.0106,16.2044,15.861,15.7292,15.7128,171.231,-9.76848,0.1482371794871795,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.0276,16.394,16.6214,16.2193,16.0625,16.0145,171.31,-9.73464,0.1512371794871795,0.1158275,0.1338,0.09501408450704227,0.07096045197740113,0.05600492610837438
swift,17.075,16.4055,16.6422,16.1881,16.0472,16.0129,171.294,-9.82139,0.1473974358974359,0.11271875,0.13,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.0821,16.5515,16.7356,16.3876,16.269,16.2598,171.222,-9.79061,0.1482371794871795,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.3066,16.6312,16.8728,16.3845,16.1884,16.1226,171.247,-9.85539,0.1473974358974359,0.11271875,0.13,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.4136,16.776,17.0009,16.5871,16.4547,16.4247,171.277,-9.75344,0.1473974358974359,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.5626,16.9111,17.171,16.7245,16.5823,16.5296,171.273,-9.84319,0.1482371794871795,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,17.7878,16.9775,17.2681,16.6452,16.4731,16.436,171.262,-9.82011,0.1473974358974359,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
swift,16.9543,16.2785,16.5053,16.0577,15.8942,15.8591,150.079,4.43586,0.09687820512820514,0.07384874999999999,0.0856,0.06043661971830987,0.045350282485875706,0.03580295566502463
swift,17.8397,17.1424,17.3692,16.9333,16.7543,16.694,150.081,4.37254,0.08887820512820513,0.06763125,0.078,0.05543661971830987,0.04135028248587571,0.03280295566502463
swift,18.3367,17.5111,17.8255,17.2415,17.0143,16.9296,150.073,4.41526,0.08903846153846154,0.06863125,0.079,0.05643661971830987,0.04148022598870057,0.03280295566502463
swift,17.2242,16.4059,16.7023,16.1178,15.8997,15.8128,180.411,-18.9235,0.1640769230769231,0.125045,0.1444,0.10287323943661973,0.07596045197740113,0.06100492610837439
swift,17.466,16.8921,17.0721,16.6912,16.5627,16.5196,180.505,-19.0047,0.17091666666666666,0.1302625,0.151,0.10701408450704226,0.07983050847457628,0.06330541871921182
swift,17.704,17.0519,17.2698,16.8365,16.6809,16.6319,180.51,-18.9606,0.17007692307692307,0.13015375,0.1502,0.10687323943661974,0.07896045197740113,0.06300492610837438
swift,16.4029,15.6928,15.9303,15.413,15.2032,15.1263,180.474,-18.9761,0.1690769230769231,0.12915375,0.1492,0.10687323943661974,0.07883050847457627,0.06230541871921182
swift,16.5885,16.0201,16.2146,15.8504,15.7275,15.6992,180.493,-18.9369,0.1680769230769231,0.12815375,0.1482,0.10587323943661973,0.07796045197740113,0.06230541871921182
swift,16.8532,16.3636,16.4882,16.2124,16.1261,16.1217,180.461,-18.9994,0.1690769230769231,0.1292625,0.15,0.10687323943661974,0.07883050847457627,0.06230541871921182
swift,17.2556,16.3083,16.6788,15.921,15.6108,15.4743,180.438,-19.0184,0.1630769230769231,0.125045,0.1444,0.10287323943661973,0.07596045197740113,0.060004926108374386
