survey,CFA4P1-B,CFA4P1-V,CFA4P1-r,CFA4P1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P1-B_AV,CFA4P1-V_AV,CFA4P1-r_AV,CFA4P1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA4P1-B,GAIA_CFA4P1-V,GAIA_CFA4P1-r,GAIA_CFA4P1-i
CFA4,17.7013,17.0786,16.9055,16.7377,17.2808,16.8809,16.7303,16.7005,212.211,-21.5963,0.290087,0.222812,0.181411,0.133678,0.258,0.183169,0.136051,0.107709,6277339447521505536,17.5586,17.0697,16.8924,16.7427
CFA4,17.1294,16.5681,16.395,16.2619,16.7474,16.3869,16.2553,16.2189,212.21,-21.6619,0.286087,0.218812,0.179135,0.131678,0.254,0.181028,0.134051,0.106409,6277338558463161472,17.0097,16.5567,16.3903,16.248
CFA4,17.0779,16.4663,16.2858,16.1182,16.6592,16.2661,16.115,16.0731,212.208,-21.666,0.286087,0.218812,0.179135,0.131678,0.254,0.181028,0.134051,0.106409,-999,-999,-999,-999,-999
CFA4,18.2559,17.5858,17.3764,17.207,17.7768,17.3329,17.1596,17.0931,212.198,-21.6718,0.285087,0.217812,0.178411,0.130966,0.253,0.180169,0.133181,0.105409,-999,-999,-999,-999,-999
CFA4,16.6645,16.0845,15.8794,15.7385,16.537,16.0175,15.8117,15.7359,212.18,-21.5406,0.272321,0.208524,0.170411,0.124966,0.2416,0.172169,0.127181,0.101108,-999,-999,-999,-999,-999
CFA4,16.5547,15.9199,15.7009,15.5011,16.2544,15.7575,15.5381,15.4573,212.174,-21.5557,0.275321,0.21062,0.172411,0.126966,0.2444,0.174169,0.129181,0.102108,-999,-999,-999,-999,-999
CFA4,16.6904,15.8335,15.4905,15.2284,16.1632,15.4879,15.2108,15.1087,212.174,-21.6588,0.285087,0.218716,0.178411,0.130966,0.2532,0.180169,0.133181,0.106108,-999,-999,-999,-999,-999
CFA4,18.5036,17.907,17.7168,17.5476,18.1393,17.717,17.5389,17.4874,212.165,-21.6711,0.282321,0.216716,0.176411,0.129966,0.2512,0.178169,0.132181,0.105108,-999,-999,-999,-999,-999
CFA4,16.58,15.9703,15.7619,15.5914,16.1728,15.741,15.5667,15.5202,212.152,-21.6282,0.288087,0.220812,0.180135,0.132678,0.256,0.182028,0.135051,0.107409,-999,-999,-999,-999,-999
CFA4,16.7982,16.1727,15.9718,15.7959,16.3597,15.9374,15.7636,15.71,212.146,-21.6831,0.279087,0.21362,0.174411,0.127966,0.2474,0.176169,0.130181,0.103409,-999,-999,-999,-999,-999
CFA4,18.1217,17.2508,16.8951,16.6242,17.5657,16.8854,16.6028,16.4913,212.143,-21.6183,0.279321,0.213716,0.174411,0.127966,0.2482,0.176169,0.130181,0.104108,-999,-999,-999,-999,-999
CFA4,16.9926,16.435,16.2619,16.1084,16.5911,16.2196,16.0682,16.035,212.138,-21.6714,0.279087,0.21362,0.174411,0.127966,0.2474,0.176169,0.130181,0.103409,-999,-999,-999,-999,-999
CFA4,17.4191,16.8307,16.6619,16.5154,17.0055,16.6234,16.474,16.4469,212.134,-21.6621,0.279087,0.21362,0.174411,0.127966,0.2474,0.176169,0.130181,0.103409,-999,-999,-999,-999,-999
